new_annotation	genotype	entropy_median_per_cluster_per_genotype
0_Naïve	Bcl6tg/+	2.83321334405622
0_Naïve	CD70-/-	3.53598308231342
0_Naïve	CD70-/-;Bcl6tg/+	2.63905732961526
0_Naïve	WT	3.83893175033911
1_CM/EM	Bcl6tg/+	2.62939334988633
1_CM/EM	CD70-/-	3.09454346080763
1_CM/EM	CD70-/-;Bcl6tg/+	2.45831132968308
1_CM/EM	WT	3.3322045101752
2_Exhausted CTLs	Bcl6tg/+	2.60133518383577
2_Exhausted CTLs	CD70-/-	1.83218623754425
2_Exhausted CTLs	CD70-/-;Bcl6tg/+	2.48415497067192
2_Exhausted CTLs	WT	1.6094379124341
3_Activated CTLs	Bcl6tg/+	2.45831132968308
3_Activated CTLs	CD70-/-	1.38629436111989
3_Activated CTLs	CD70-/-;Bcl6tg/+	1.97300140639361
3_Activated CTLs	WT	1.94591014905531
4_Naïve	Bcl6tg/+	1.497866136777
4_Naïve	CD70-/-	2.63905732961526
4_Naïve	CD70-/-;Bcl6tg/+	1.79175946922805
4_Naïve	WT	2.70805020110221
5_Other	Bcl6tg/+	1.38629436111989
5_Other	CD70-/-	1.38629436111989
5_Other	CD70-/-;Bcl6tg/+	1.09861228866811
5_Other	WT	1.79175946922805
6_CM/EM	Bcl6tg/+	1.79175946922805
6_CM/EM	CD70-/-	2.19722457733622
6_CM/EM	CD70-/-;Bcl6tg/+	2.07944154167984
6_CM/EM	WT	2.19101331733694
7_CM/EM	Bcl6tg/+	1.6094379124341
7_CM/EM	CD70-/-	1.6094379124341
7_CM/EM	CD70-/-;Bcl6tg/+	1.38629436111989
7_CM/EM	WT	1.6094379124341
8_Precursor exhausted CTLs	Bcl6tg/+	1.6094379124341
8_Precursor exhausted CTLs	CD70-/-	1.6094379124341
8_Precursor exhausted CTLs	CD70-/-;Bcl6tg/+	1.76981378334741
8_Precursor exhausted CTLs	WT	1.76231371031396
9_Non-exhausted effectors	Bcl6tg/+	1.47507631105469
9_Non-exhausted effectors	CD70-/-	1.32966134885476
9_Non-exhausted effectors	CD70-/-;Bcl6tg/+	1.35797785498732
9_Non-exhausted effectors	WT	1.35923670066501
11_Cycling	Bcl6tg/+	2.01267584536757
11_Cycling	CD70-/-	1.38629436111989
11_Cycling	CD70-/-;Bcl6tg/+	1.58507416073775
11_Cycling	WT	1.32966134885476
13_Early exhausted CTLs	Bcl6tg/+	1.47507631105469
13_Early exhausted CTLs	CD70-/-	1.09861228866811
13_Early exhausted CTLs	CD70-/-;Bcl6tg/+	1.38629436111989
13_Early exhausted CTLs	WT	1.38629436111989
16_Terminally exhausted CTLs	Bcl6tg/+	2.0228085294147
16_Terminally exhausted CTLs	CD70-/-	0.636514168294813
16_Terminally exhausted CTLs	CD70-/-;Bcl6tg/+	1.27089412839398
16_Terminally exhausted CTLs	WT	NA
